"ACH Bank Account Transfer","ACH Bank Account Transfer"
"Accepted Card Types","Accepted Card Types"
"Account Number:","Account Number:"
"Add new card","Add new card"
"All Currencies","All Currencies"
"American Express","AmEx"
"An error has occured while trying to verify your account details!","An error has occured while trying to verify your account details!"
"An error occurred while processing your card. Try again in a little bit.","An error occurred while processing your card. Try again in a little bit."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"By signing this mandate form, you authorise (A) %s to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %s. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you authorise (A) %s and Stripe, our payment service provider, to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %s and Stripe. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
"CVC Check","CVC Check"
"Card Number","Card Number"
"Card Verification Number","Card Verification Number"
"Card","Card"
"Cart Express Checkout","Cart Express Checkout"
"Could not refund payment: ","Could not refund payment: "
"Could not retrieve customer profile.","Could not retrieve customer profile."
"Could not retrieve customer profile: ","Could not retrieve customer profile: "
"Could not retrieve payment details. Please contact us.","Could not retrieve payment details. Please contact us."
"Could not save the bank account details because the customer could not be created in Stripe!","Could not save the bank account details because the customer could not be created in Stripe!"
"Could not set up customer profile: ","Could not set up customer profile: "
"Could not use card: Your bank requires additional authentication.","Could not use card: Your bank requires additional authentication."
"Customer was refunded the amount of ","Customer was refunded the amount of "
"Disabled","Disabled"
"Enabled","Enabled"
"Enter your card details:","Enter your card details:"
"Expiration Date","Expiration Date"
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Live","Live"
"Name on Card","Name on Card"
"No IBAN provided.","No IBAN provided."
"Or click here to continue with WeChat Pay","Or click here to continue with WeChat Pay"
"Or use a mandate from a previous order:","Or use a mandate from a previous order:"
"Order placed under manual review by Stripe Radar","Order placed under manual review by Stripe Radar"
"Payment succeeded.","Payment succeeded."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter your bank account details:","Please enter your bank account details:"
"Please specify a card number.","Please specify a card number."
"Please specify the card CVC number.","Please specify the card CVC number."
"Please specify the card expiration month.","Please specify the card expiration month."
"Please specify the card expiration year.","Please specify the card expiration year."
"Please specify the cardholder name.","Please specify the cardholder name."
"Processing Payment","Processing Payment"
"Product Express Checkout","Product Express Checkout"
"Routing Number:","Routing Number:"
"Save Customer Cards","Save Customer Cards"
"Save card for future purchases","Save card for future purchases"
"Saved Cards","My Saved Cards"
"Select cards to remove","Select cards to remove"
"Selected Card","Selected Card"
"Something has gone wrong with your payment. Please contact us.","Something has gone wrong with your payment. Please contact us."
"Sorry, 3D Secure authentication could not be used with your card. Please contact us for help.","Sorry, 3D Secure authentication could not be used with your card. Please contact us for help."
"Sorry, the SOFORT payment method is not available in your country.","Sorry, the SOFORT payment method is not available in your country."
"Sorry, the card could not be added!","Sorry, the card could not be added!"
"Sorry, the payment method %s cannot be used with the %s currency.","Sorry, the payment method %s cannot be used with the %s currency."
"Sorry, this payment method can not be used at the moment. Try again later.","Sorry, this payment method can not be used at the moment. Try again later."
"Sorry, we could not initiate a card authentication with your bank.","Sorry, we could not initiate a card authentication with your bank."
"Sorry, we could not perform a card security check. Please contact us to complete your purchase.","Sorry, we could not perform a card security check. Please contact us to complete your purchase."
"Sorry, your order has been cancelled because a 3D Secure session was initiated, but we did not receive a successful or failed authorization message from your bank. Please place your order again.","Sorry, your order has been cancelled because a 3D Secure session was initiated, but we did not receive a successful or failed authorization message from your bank. Please place your order again."
"Sorry, your order has been cancelled because a payment request was sent to your bank, but we did not receive a response back. Please contact us or place your order again.","Sorry, your order has been cancelled because a payment request was sent to your bank, but we did not receive a response back. Please contact us or place your order again."
"Sorry, your order has been cancelled because of a technical problem on our side. Please contact us to place your order again.","Sorry, your order has been cancelled because of a technical problem on our side. Please contact us to place your order again."
"Street Check","Street Check"
"Stripe Express","Stripe Express"
"Test","Test"
"The authorization has expired and the customer has no saved cards to re-create the order.","The authorization has expired and the customer has no saved cards to re-create the order."
"The card could not be saved.","The card could not be saved."
"The customer has been redirected for payment authorization, pending authorization outcome.","The customer has been redirected for payment authorization, pending authorization outcome."
"The payment was not authorized.","The payment was not authorized."
"The purchase could not be completed because no address details were provided","The purchase could not be completed because no address details were provided"
"The source you provided is not in a chargeable state.","Sorry, it looks like your card is not enrolled to 3D Secure with your bank. For security purposes, please use a different card."
"The zip code you supplied failed validation.","The zip code you supplied failed validation."
"There was a problem processing the payment for your order, please contact us for details","There was a problem processing the payment for your order, please contact us for details"
"This card cannot be used because it requires a 3D Secure authentication by the customer.","This card cannot be used because it requires a 3D Secure authentication by the customer."
"This card cannot be used for multi-shipping orders because it requires 3D Secure authentication. Please place your order on its own for this shipping address, or use a different card.","This card cannot be used for multi-shipping orders because it requires 3D Secure authentication. Please place your order on its own for this shipping address, or use a different card."
"This order has already been refunded in Stripe. To refund from Magento, please refund it offline.","This order has already been refunded in Stripe. To refund from Magento, please refund it offline."
"This type of payment source can not be saved.","This type of payment source can not be saved."
"To complete the order, please pay <b>%s</b> by scanning the QR code below with your mobile device","To complete the order, please pay <b>%s</b> by scanning the QR code below with your mobile device"
"To try again","To try again"
"USD Only","USD Only"
"Use a new card","Use a new card"
"Waiting for your bank to authorize the payment...","Waiting for your bank to authorize the payment..."
"What is this?","What is this?"
"You have no saved cards.","You have no saved cards."
"You will be redirected automatically.","You will be redirected automatically."
"You will be redirected to your bank for payment processing.","You will be redirected to your bank for payment processing."
"Your IBAN","Your IBAN"
"Your card details are protected using PCI DSS v3.2 security standards.","Your card details are protected using PCI DSS v3.2 security standards."
"Your card was declined.","Your card was declined."
"Your card's expiration date is incorrect.","Your card's expiration date is incorrect."
"Your card's security code is invalid.","Your card's security code is invalid."
"Your order has been cancelled because the card 3D Secure authorization failed.","Your order has been cancelled because the card 3D Secure authorization failed."
"Your order has been cancelled because the payment authorization failed.","Your order has been cancelled because the payment authorization failed."
"Your order has been cancelled. The card 3D Secure authorization succeeded, however your bank declined the payment when a charge was attempted.","Your order has been cancelled. The card 3D Secure authorization succeeded, however your bank declined the payment when a charge was attempted."
"Your order has been cancelled. The payment authorization succeeded, however the authorizing provider declined the payment when a charge was attempted.","Your order has been cancelled. The payment authorization succeeded, however the authorizing provider declined the payment when a charge was attempted."
"Your order is pending!","Your order is pending!"
"Your order was canceled because the payment failed.","Your order was canceled because the payment failed."
"Your session has expired.","Your session has expired."
"Zip Check","Zip Check"
"click here","click here"
"ending in","****"
"ending","****"
"expires","exp."
